penalty,mixture,.metric,.estimator,mean,n,std_err,.config
0.01,0,rmse,standard,0.47677207984648096,5,0.005036846934204175,pre0_mod1_post0
0.01,0.5,rmse,standard,0.47375792363873653,5,0.004206589923224432,pre0_mod2_post0
0.01,1,rmse,standard,0.47785066775823937,5,0.004329606754152564,pre0_mod3_post0
0.03162277660168379,0,rmse,standard,0.47677207984648096,5,0.005036846934204175,pre0_mod4_post0
0.03162277660168379,0.5,rmse,standard,0.4840087055761381,5,0.004645440304518262,pre0_mod5_post0
0.03162277660168379,1,rmse,standard,0.5024729092348965,5,0.004798706618853478,pre0_mod6_post0
0.1,0,rmse,standard,0.47677207984648096,5,0.005036846934204175,pre0_mod7_post0
0.1,0.5,rmse,standard,0.5334834254736448,5,0.005896948733598072,pre0_mod8_post0
0.1,1,rmse,standard,0.593775020208182,5,0.006007228117366927,pre0_mod9_post0
